aal	0.000911
aan	0.000456
aba	0.242786
abb	0.017765
abc	0.003644
abd	0.02642
abe	0.046462
abf	0.000456
abh	0.011388
abi	0.525201
abj	0.015943
abl	0.903729
abn	0.000911
abo	0.610382
abr	0.285148
abs	0.124809
abu	0.104311
aby	0.019587
abâ	0.030975
abè	0.003644
abé	0.016398
abê	0.015943
abî	0.020953
aca	0.163528
acc	1.005763
ace	0.31749
acf	0.000911
ach	0.819005
aci	0.3266
ack	0.030519
acl	0.056483
acm	0.001822
acn	0.002733
aco	0.168538
acq	0.087913
acr	0.178104
acs	0.00911
act	0.691462
acu	0.086091
acy	0.003644
acè	0.018676
acé	0.215911
acô	0.000911
ada	0.278771
adb	0.000911
add	0.035985
ade	0.436377
adg	0.003189
adh	0.025508
adi	0.388549
adj	0.09429
adm	0.134375
adn	0.002278
ado	0.248252
adr	0.20589
ads	0.016854
adu	0.110689
adv	0.020042
ady	0.004555
adâ	0.034163
adè	0.016854
adé	0.069237
adî	0.001367
adô	0.000456
aea	0.000911
aec	0.003644
aeg	0.000911
aei	0.000456
ael	0.002278
aen	0.002733
aep	0.000456
aes	0.003189
aet	0.000456
aeu	0.000456
aev	0.000911
afa	0.063316
afe	0.034619
aff	0.835403
afg	0.003644
afi	0.055117
afk	0.001822
afl	0.039174
afn	0.000456
afo	0.110233
afr	0.067415
afs	0.000456
aft	0.0041
afu	0.000456
afâ	0.0041
afè	0.001367
afé	0.020498
aga	0.180837
agd	0.003644
age	2.007882
agf	0.000456
agg	0.067415
agh	0.006377
agi	0.348009
agl	0.005466
agm	0.050561
agn	0.300636
ago	0.207712
agr	0.285148
ags	0.002278
agt	0.000456
agu	0.270572
agy	0.001822
agè	0.039174
agé	0.147585
agî	0.005466
aha	0.023231
ahd	0.000911
ahe	0.001367
ahh	0.001367
ahi	0.05785
ahl	0.000911
ahm	0.001822
ahn	0.000456
aho	0.03143
ahr	0.000456
ahs	0.003644
aht	0.000456
ahu	0.042818
ahy	0.000456
ahé	0.005466
ahî	0.0041
aib	0.040085
aic	0.012754
aid	0.123443
aie	4.417523
aif	0.000911
aig	0.336621
aii	0.002278
ail	1.39659
aim	0.076981
ain	0.700572
aip	0.000456
air	1.003486
ais	5.855108
ait	4.440754
aiv	0.001367
aix	0.003644
aiz	0.000911
aja	0.004555
aje	0.028242
aji	0.001367
ajo	0.144396
aju	0.064682
